# Source: https://nihongoaz.com/3000-most-common-japanese-words.html
# Japanese,Pronunciation,English Meaning
行く,iku,go
見る,miru,"see, look at"
多い,ooi,"a lot of, many"
家,ie,"home, household"
これ,kore,"this, this one"
それ,sore,"that, that one"
私,watashi,I
仕事,shigoto,"work, job"
いつ,itsu,when
する,suru,"do, make"
出る,deru,"go out, leave"
使う,tsukau,"use, make use of"
所,tokoro,place
作る,tsukuru,"make, create"
思う,omou,think
持つ,motsu,"have, possess"
買う,kau,buy
時間,jikan,"time, hour"
知る,shiru,know
同じ,onaji,"same, identical"
今,ima,now
新しい,atarashii,new
なる,naru,become
まだ,mada,"(not) yet, still"
あと,ato,after
聞く,kiku,"hear, ask"
言う,iu,"say, tell"
少ない,sukunai,"few, little"
高い,takai,"high, tall"
子供,kodomo,child
そう,sou,"so, that way"
もう,mou,"already, yet"
学生,gakusei,student
熱い,atsui,hot (to touch)
どうぞ,douzo,please
午後,gogo,"afternoon, p.m."
長い,nagai,long
本,hon,"book, volume"
今年,kotoshi,this year (colloquial)
よく,yoku,"often, well"
彼女,kanojo,"she, one’s girlfriend"
どう,dou,"how, what"
言葉,kotoba,"word, language"
顔,kao,face
終わる,owaru,"finish, end"
一つ,hitotsu,one (thing)
あげる,ageru,"give, offer (colloquial)"
こう,kou,"like this, such"
学校,gakkou,school
くれる,kureru,be given
始める,hajimeru,start (something)
起きる,okiru,"get up, get out of bed"
春,haru,spring
午前,gozen,"morning, a.m."
別,betsu,"another, different"
どこ,doko,where
部屋,heya,room
若い,wakai,young
車,kuruma,"car, automobile"
置く,oku,"put, place"
住む,sumu,"live, reside"
働く,hataraku,work
難しい,muzukashii,difficult
先生,sensei,teacher
立つ,tatsu,"stand, rise"
呼ぶ,yobu,"call, name"
大学,daigaku,"university, college"
安い,yasui,"cheap, inexpensive"
もっと,motto,more
帰る,kaeru,go back home
分かる,wakaru,understand
広い,hiroi,"wide, big"
数,suu,number
近い,chikai,"near, close"
そこ,soko,there
走る,hashiru,run
入れる,ireru,put in
教える,oshieru,"teach, tell"
歩く,aruku,"walk, go on foot"
会う,au,meet
書く,kaku,write
頭,atama,head
売る,uru,sell
大好き,daisuki,like (something) a lot
体,karada,"body, physique"
直ぐ,sugu,"at once, soon"
飛ぶ,tobu,fly
とても,totemo,very (colloquial)
誰,dare,who
好き,suki,"favorite, liked"
読む,yomu,read
次,tsugi,next
あなた,anata,you
飲む,nomu,drink
古い,furui,old
質問,shitsumon,question
今日,kyou,today (colloquial)
友達,tomodachi,"friend, companion (colloquial)"
早い,hayai,early
どれ,dore,"what, which"
美しい,utsukushii,beautiful
いつも,itsumo,always (colloquial)
足,ashi,"leg, foot"
起こす,okosu,wake (someone) up
見せる,miseru,show
娘,musume,"daughter, girl"
楽しむ,tanoshimu,enjoy
色,iro,color
みんな,minna,everybody (colloquial)
取る,toru,"take, get"
勉強,benkyou,study
できる,dekiru,"can do, be good at"
短い,mijikai,"short, brief"
落ちる,ochiru,"fall, come down"
息子,musuko,son
白い,shiroi,"white, blank"
飛行機,hikouki,airplane
病気,byouki,illness
冬,fuyu,winter
年,toshi,"year, age"
重い,omoi,heavy
胸,mune,"chest, breast"
払う,harau,"pay (money, respect, attention, etc.)"
軽い,karui,light (of weight)
見つける,mitsukeru,find
忘れる,wasureru,"forget, leave behind"
酒,sake,"alcohol, rice wine"
どちら,dochira,which (polite)
姉,ane,(one’s own) older sister
覚える,oboeru,"memorize, learn"
狭い,semai,"narrow, small"
赤い,akai,red
着る,kiru,"wear, put on"
笑う,warau,"laugh, smile"
一番,ichiban,"most, best"
授業,jugyou,"class session, lecture"
週,shuu,week
漢字,kanji,Chinese character
自転車,jitensha,bicycle
電車,densha,train
探す,sagasu,"search for, look for"
紙,kami,paper
歌う,utau,sing
遅い,osoi,"slow, late"
首,kubi,neck
速い,hayai,fast
一緒に,issho ni,"together, at the same time"
今月,kongetsu,this month
遊ぶ,asobu,play
遠い,tooi,"far, distant"
弱い,yowai,weak
耳,mimi,ear
座る,suwaru,"sit, sit down"
右,migi,right
浴びる,abiru,take (a shower)
肩,kata,shoulder
寝る,neru,"lie down and sleep, go to sleep"
消す,kesu,"switch off, turn off"
元気,genki,"healthy, energetic"
全部,zenbu,"all, whole"
去年,kyonen,last year (colloquial)
引く,hiku,"draw, pull"
図書館,toshokan,library
上げる,ageru,"raise, lift"
緑,midori,green
腕,ude,arm
ドア,doa,door (loan word)
女の子,onna no ko,little girl
男の子,otoko no ko,boy
私たち,watashitachi,we (colloquial)
近く,chikaku,"near, close to"
やる,yaru,"do, give"
かなり,kanari,"fairly, rather"
国,kuni,country
起こる,okoru,happen
秋,aki,"autumn, fall"
送る,okuru,send
死ぬ,shinu,die
気持ち,kimochi,"feeling, sensation"
乗る,noru,"ride, take"
いる,iru,"be present, stay"
木,ki,"tree, wood"
開ける,akeru,"open, unlock (doors, windows, etc.)"
閉める,shimeru,"shut, close (doors, windows, etc.)"
続く,tsuzuku,"continue, follow"
お医者さん,oishasan,doctor (polite)
円,en,Japanese yen
ここ,koko,here
待つ,matsu,"wait, wait for"
低い,hikui,"low, short"
もらう,morau,receive
食べる,taberu,eat
兄,ani,(one’s own) older brother
名前,namae,name
夫,otto,husband
一,ichi,one
結婚,kekkon,marriage
親,oya,parent
話す,hanasu,"speak, talk"
少し,sukoshi,"a bit, a little while"
閉じる,tojiru,"shut, close (books, eyes, etc.)"
時,toki,"time, moment"
米,kome,rice (grain)
切る,kiru,cut
楽しい,tanoshii,"fun, enjoyable"
服,fuku,clothes (colloquial)
後ろ,ushiro,"back, behind"
嬉しい,ureshii,"happy, glad"
腰,koshi,"waist, lower back"
日曜日,nichiyoubi,Sunday
昼,hiru,"daytime, midday"
お母さん,okaasan,mother (colloquial)
大学生,daigakusei,university student
終わり,owari,"end, conclusion"
背,se,"height, stature"
手伝う,tetsudau,"help, assist"
鼻,hana,nose
起きる,okiru,"occur, happen, wake up, get up"
載せる,noseru,"place, put on"
悲しい,kanashii,sad
しゃべる,shaberu,"chat, talk"
近く,chikaku,"in the near future, before long"
甘い,amai,sweet
テーブル,te-buru,table
食べ物,tabemono,food (colloquial)
始まる,hajimaru,begin
ゲーム,ge-mu,game
十,juu,ten
天気,tenki,weather
暑い,atsui,hot (of weather)
太い,futoi,"thick, fat"
晩,ban,"evening, night (from sunset to bedtime)"
土曜日,doyoubi,Saturday
痛い,itai,"sore, painful"
お父さん,otousan,"father, dad (colloquial)"
多分,tabun,"probably, perhaps"
時計,tokei,"clock, watch"
泊まる,tomaru,stay overnight
どうして,doushite,how come
掛ける,kakeru,"hang, put on"
曲がる,magaru,"make a turn, turn"
お腹,onaka,"stomach, belly"
ミーティング,mi-tingu,meeting
嫌い,kirai,dislike (habitual)
金曜日,kinyoubi,Friday
要る,iru,"need, require"
無い,nai,to not be
風邪,kaze,cold (illness)
黄色い,kiiroi,yellow
優しい,yasashii,"gentle, kind"
晴れる,hareru,"be sunny, clear up"
汚い,kitanai,dirty
茶色,chairo,brown
空く,suku,"be empty, become less crowded"
上る,noboru,"go up, climb"
ご飯,gohan,"meal, cooked rice"
日,nichi,counter for days
髪の毛,kaminoke,"hair, each single hair"
つける,tsukeru,"switch on, turn on"
月曜日,getsuyoubi,Monday
入る,hairu,enter
カタカナ,katakana,katakana
今週,konshuu,this week
開く,hiraku,"open (books, eyes, etc.)"
水,mizu,water
あれ,are,that (over there)
二,ni,two
締める,shimeru,"tighten, fasten"
まずい,mazui,"bad (taste), distasteful"
平仮名,hiragana,hiragana
曇る,kumoru,become cloudy
触る,sawaru,"touch, feel"
駄目,dame,no good
飲み物,nomimono,"beverage, drink"
木曜日,mokuyoubi,Thursday
曜日,youbi,day of the week
そば,soba,"side, vicinity"
こっち,kocchi,"here, this way (casual)"
火曜日,kayoubi,Tuesday
渇く,kawaku,be thirsty
三,san,three
水曜日,suiyoubi,Wednesday
二つ,futatsu,two (things)
今晩,konban,"this evening, tonight"
千,sen,thousand
六日,muika,"six days, sixth of the month"
お姉さん,onesan,older sister
直る,naoru,"be repaired, get fixed"
ちょっと,chotto,"just a moment, just a little"
四,yon,four (Japanese origin)
これから,korekara,"from now on, after this"
考える,kangaeru,"think, consider"
